name,sector
Autodesk,Technology
Applied Materials,Technology
Advanced Micro Devices Inc.,Technology
Amgen,Healthcare
Activision Blizzard,Communication
Broadcom Inc.,Technology
Cadence Design Systems,Technology
Cisco,Technology
DexCom,Healthcare
Electronic Arts,Technology
eBay,Consumer Cyclical
Enphase Energy,Technology
Fortinet,Technology
Gilead Sciences,Healthcare
Alphabet Inc. (Class C),Technology
Alphabet Inc. (Class A),Technology
"Illumina, Inc.",Technology
Intel,Technology
Intuit,Technology
Intuitive Surgical,Healthcare
KLA Corporation,Technology
Lucid Motors,Industrials
Lam Research,Technology
Meta Platforms,Technology
Monster Beverage,Consumer Defensive
Netflix,Communication
Nvidia,Technology
Palo Alto Networks,Technology
PayPal,Financial
Qualcomm,Technology
Ross Stores,Consumer Cyclical
Synopsys,Technology
"Workday, Inc.",Technology
Zoom Video Communications,Technology
Zscaler,Technology
Apple Inc.,Technology
Airbnb,Real Estate
Adobe Inc.,Technology
